Term Identifier	Term Name	Term textual definition	Spanish Translation	
Abnormality of the skeletal system			Anomalía del Sistema Esquelético	
Abnormality of the skeletal system	HP:0010125	Abnormality of the epiphysis of the 1st metatarsal	In contrast to the metatarsals 2-5, the first metatarsal is embryologically of phalangeal origin and as such equivalent to the proximal phalanges of the digits 2-5, whereas the proximal phalanx of the big toe is equivalent to the middle phalanges of the other digits. This term applies to abnormalities of the epiphysis of the first metatarsal bone.	Anomalía de la epífisis del primer metatarsiano	
Abnormality of the skeletal system	HP:0010220	Abnormality of the epiphysis of the 2nd metacarpal	Any abnormality of the epiphysis of the second metacarpal bone.	Anomalía de la epífisis del segundo metacarpiano	
Abnormality of the skeletal system	HP:0010222	Abnormality of the epiphysis of the 3rd metacarpal	Any abnormality of the epiphysis of the third metacarpal bone.	Anomalía de la epífisis del tercer metacarpiano	
Abnormality of the skeletal system	HP:0010224	Abnormality of the epiphysis of the 4th metacarpal	Any abnormality of the epiphysis of the 4th metacarpal bone.	Anomalía de la epífisis del cuarto metacarpiano	
Abnormality of the skeletal system	HP:0010226	Abnormality of the epiphysis of the 5th metacarpal	Any abnormality of the epiphysis of the fifth metacarpal bone.	Anomalía de la epífisis del quinto metacarpiano	
Abnormality of the skeletal system	HP:0009499	Abnormality of the epiphysis of the distal phalanx of the 2nd finger		Anomalía de la epífisis de la falange distal del segundo dedo de la mano	
Abnormality of the skeletal system	HP:0100088	Abnormality of the epiphysis of the distal phalanx of the 2nd toe		Anomalía de la epífisis de la falange distal del segundo dedo del pie	
Abnormality of the skeletal system	HP:0009332	Abnormality of the epiphysis of the distal phalanx of the 3rd finger		Anomalía de la epífisis de la falange distal del tercer dedo de la mano	
Abnormality of the skeletal system	HP:0100091	Abnormality of the epiphysis of the distal phalanx of the 3rd toe		Anomalía de la epífisis de la falange distal del tercer dedo del pie	
Abnormality of the skeletal system	HP:0009249	Abnormality of the epiphysis of the distal phalanx of the 4th finger		Anomalía de la epífisis de la falange distal del cuarto dedo de la mano	
Abnormality of the skeletal system	HP:0100094	Abnormality of the epiphysis of the distal phalanx of the 4th toe		Anomalía de la epífisis de la falange distal del cuarto dedo del pie	
Abnormality of the skeletal system	HP:0009198	Abnormality of the epiphysis of the distal phalanx of the 5th finger	Abnormality of the epiphysis of the distal phalanx of the fifth finger. This epiphysis is located on the proximal end of the phalanx.	Anomalía de la epífisis de la falange distal del quinto dedo de la mano	
Abnormality of the skeletal system	HP:0100097	Abnormality of the epiphysis of the distal phalanx of the 5th toe		Anomalía de la epífisis de la falange distal del quinto dedo del pie	
Abnormality of the skeletal system	HP:0010124	Abnormality of the epiphysis of the distal phalanx of the hallux		Anomalía de la epífisis de la falange distal del dedo gordo del pie	
Abnormality of the skeletal system	HP:0009662	Abnormality of the epiphysis of the distal phalanx of the thumb	Abnormality of the epiphysis of the distal phalanx of the thumb. This epiphysis is located on the proximal end of the phalanx.	Anomalía de la epífisis de la falange distal del pulgar	
Abnormality of the skeletal system	HP:0010574	Abnormality of the epiphysis of the femoral head	Any abnormality of the `proximal epiphysis of the femur` (FMA:32841).	Anomalía de la epífisis de la cabeza femoral	
Abnormality of the skeletal system	HP:0009500	Abnormality of the epiphysis of the middle phalanx of the 2nd finger		Anomalía de la epífisis de la falange media del segundo dedo de la mano	
Abnormality of the skeletal system	HP:0100089	Abnormality of the epiphysis of the middle phalanx of the 2nd toe		Anomalía de la epífisis de la falange media del segundo dedo del pie	
Abnormality of the skeletal system	HP:0009334	Abnormality of the epiphysis of the middle phalanx of the 3rd finger		Anomalía de la epífisis de la falange media del tercer dedo de la mano	
Abnormality of the skeletal system	HP:0100092	Abnormality of the epiphysis of the middle phalanx of the 3rd toe		Anomalía de la epífisis de la falange media del dedo tercero del pie	
Abnormality of the skeletal system	HP:0009247	Abnormality of the epiphysis of the middle phalanx of the 4th finger		Anomalía de la epífisis de la falange media del cuarto dedo de la mano	
Abnormality of the skeletal system	HP:0100095	Abnormality of the epiphysis of the middle phalanx of the 4th toe		Anomalía de la epífisis de la falange media del cuarto dedo del pie	
Abnormality of the skeletal system	HP:0004224	Abnormality of the epiphysis of the middle phalanx of the 5th finger	Abnormality of the epiphysis of the middle phalanx of the fifth finger. This epiphysis is located on the proximal end of the phalanx.	Anomalía de la epífisis de la falange media del quinto dedo de la mano	
Abnormality of the skeletal system	HP:0100098	Abnormality of the epiphysis of the middle phalanx of the 5th toe		Anomalía de la epífisis de la falange media del quinto dedo del pie	
Abnormality of the skeletal system	HP:0009501	Abnormality of the epiphysis of the proximal phalanx of the 2nd finger		Anomalía de la epífisis de la falange proximal del segundo dedo de la mano	
Abnormality of the skeletal system	HP:0100090	Abnormality of the epiphysis of the proximal phalanx of the 2nd toe		Anomalía de la epífisis de la falange proximal del segundo dedo del pie	
Abnormality of the skeletal system	HP:0009333	Abnormality of the epiphysis of the proximal phalanx of the 3rd finger		Anomalía de la epífisis de la falange proximal del tercer dedo de la mano	
Abnormality of the skeletal system	HP:0100093	Abnormality of the epiphysis of the proximal phalanx of the 3rd toe		Anomalía de la epífisis de la falange proximal del tercer dedo del pie	
Abnormality of the skeletal system	HP:0009248	Abnormality of the epiphysis of the proximal phalanx of the 4th finger		Anomalía de la epífisis de la falange proximal del cuarto dedo de la mano	
Abnormality of the skeletal system	HP:0100096	Abnormality of the epiphysis of the proximal phalanx of the 4th toe		Anomalía de la epífisis de la falange proximal del cuarto dedo del pie	
Abnormality of the skeletal system	HP:0009153	Abnormality of the epiphysis of the proximal phalanx of the 5th finger	Abnormality of the epiphysis of the proximal phalanx of the fifth finger. This epiphysis is located on the proximal end of the phalanx.	Anomalía de la epífisis de la falange proximal del quinto dedo de la mano	
Abnormality of the skeletal system	HP:0100099	Abnormality of the epiphysis of the proximal phalanx of the 5th toe		Anomalía de la epífisis de la falange proximal del quinto dedo del pie	
Abnormality of the skeletal system	HP:0010126	Abnormality of the epiphysis of the proximal phalanx of the hallux	In contrast to the metatarsals 2-5, the first metatarsal is embryologically of phalangeal origin and as such equivalent to the proximal phalanges of the digits 2-5, whereas the proximal phalanx of the big toe is equivalent to the middle phalanges of the other digits. This term applies to abnormalities affecting the proximal phalanx of the hallux.	Anomalía de la epífisis de la falange proximal del dedo gordo del pie	
Abnormality of the skeletal system	HP:0009663	Abnormality of the epiphysis of the proximal phalanx of the thumb	This term applies if the epiphysis of the proximal phalanx of the thumb, which is located at the proximal end of the phalanx, does not appear in concordance with gender and age dependant norms as seen on x-rays. In contrast to the proximal phalanges of the digits 2-5, the proximal phalanx of the thumb is embryologically equivalent to the middle phalanges of the other digits, whereas the first metacarpal is embryologically of phalangeal origin and as such equivalent to the proximal phalanges of the other digits.	Anomalía de la epífisis de la falange proximal del pulgar	
Abnormality of the skeletal system	HP:0003368	Abnormality of the femoral head	An abnormality of the `femoral head` (FMA:32851).	Anomalía de la cabeza femoral	
Abnormality of the skeletal system	HP:0006489	Abnormality of the femoral metaphysis	An anomaly of the `femoral metaphysis` (FMA:32875).	Anomalía de la metáfisis femoral	
Abnormality of the skeletal system	HP:0003367	Abnormality of the femoral neck	An abnormality of the `femoral neck` (FMA:42385) (which is the process of bone, connecting the femoral head with the femoral shaft).	Anomalía del cuello femoral	
Abnormality of the skeletal system	HP:0003366	Abnormality of the femoral neck and head region		Anomalía de la región del cuello y la cabeza femoral	
Abnormality of the skeletal system	HP:0002823	Abnormality of the femur	Abnormality of the `femur` (FMA:9611).	Anomalía del fémur	
Abnormality of the skeletal system	HP:0002991	Abnormality of the fibula		Anomalía del peroné	
Abnormality of the skeletal system	HP:0008089	Abnormality of the fifth metatarsal bone	An anomaly of the fifth metatarsal bone` (FMA:24506).	Anomalía del quinto metatarsiano	
Abnormality of the skeletal system	HP:0001211	Abnormality of the fingertips		Anomalía de las yemas de los dedos	
Abnormality of the skeletal system	HP:0010054	Abnormality of the first metatarsal	An anomaly of the `first metatarsal bone`(FMA:24502).	Anomalía del primer metatarsiano	
Abnormality of the skeletal system	HP:0001760	Abnormality of the foot	An abnormality of the `skeleton of foot` (FMA:24222).	Anomalía del pie	
Abnormality of the skeletal system	HP:0001436	Abnormality of the foot musculature	An anomaly of the `musculature of foot` (FMA:50214).	Anomalía de la musculatura del pie	
Abnormality of the skeletal system	HP:0002973	Abnormality of the forearm	An abnormality of the lower arm.	Anomalía del antebrazo	
Abnormality of the skeletal system	HP:0011912	Abnormality of the glenoid fossa	An anomaly of the `glenoid fossa` (FMA:23275), also known as the glenoid cavity, which is the articular surface of the scapula that articulates with the head of the humerus.	Anomalía de la fosa glenoidea	
Abnormality of the skeletal system	HP:0010456	Abnormality of the greater sacrosciatic notch	An abnormality of the sacrosciatic notch, i.e., the deep indentation in the posterior border of the hip bone at the point of union of the ilium and ischium.	Anomalía del hendidura sacrociática mayor	
Abnormality of the skeletal system	HP:0001844	Abnormality of the hallux	This term applies for all abnormalities of the big toe, also called hallux.	Anomalía del dedo gordo del pie	
Abnormality of the skeletal system	HP:0004259	Abnormality of the hamate bone		Anomalía del hueso ganchoso	
Abnormality of the skeletal system	HP:0001155	Abnormality of the hand	An abnormality affecting one or both hands.	Anomalía de la mano	
Abnormality of the skeletal system	HP:0003272	Abnormality of the hip bone	An abnormality of the `hip bone` (FMA:16585).	Anomalía del hueso de la cadera	
Abnormality of the skeletal system	HP:0001384	Abnormality of the hip joint	An abnormality of the `hip joint` (FMA:35178).	Anomalía de la articulación de la cadera	
